评论得分,评论内容
1,这是我在京东最糟糕的一次购物，这次总算领教了京东售后，恶意推脱，逃避问题。我是国庆节在京东买的小米5手机，第一次开机就发现屏幕抖动，抖动时触摸屏幕没反应，手机反应也迟钝。后来开关机又好一阵又有问题，就想退机，我有事让我妹拿到他那个收发点放到哪了，第二天打电话说手机有磕碰，我妹就过去了，收发点的人让拍个照发上去，我没也不知道什么后果就拍了，结果到了售后说你这手机自己碰了，现在这个原因很可能就是这个碰痕造成的。不退不换不保修，我送手机之前就用了3天也没摔过，送过去之后收发点的人也没当面指出问题，第二天说有问题。还有我看评价，好多卖小米5手机出现的故障和我买的手机故障基本相同。我给京东客服打了好几回电话反映问题，他们总是敷衍我不给处理问题。一再强调不是他们问题。，是我自己摔了才出现那个问题。都一个月了手机还退回来在那个收发点躺着。所以大家在京都买东西一定要小心，不然钱花了买一肚子气。
1,耳机也没有…玩游戏总是卡顿还有很多毛病反之以后都不会买小米
1,物流很快，卡是最小号的，也不介绍一下，卡差点剪坏，知道的话就不买了，指纹解锁很差。
1,小米手机也就是价格合适，三天两头各种毛病，呼叫等待不好使，你见过吗？我家仨小米5呼叫等待都不好使，你见过这么背的吗？手机重启距离感应就不好使。有时候接了电话对方不挂断你咋摁没反应。没电了充电你没事得看看，因为经常冲的奇慢，得重启后才正常，反正各种毛病
1,我用了一个月了，现在来评价。东西看起来不错，但用的话，就有问题了，第一，跟华为p9比屏幕的颜色相差很大，白的啊不像白的。我特意去了趟售后站，结果在说后拿了几台手机一比，让我觉得小米把工厂里能用的屏幕都拿来用了，每台手机的屏幕白色都不正，有比我显示更好的，有比我很差的，最要命的是售后说这不算问题不能退货。第二，屏幕用app看小说，翻页都用残影我也是醉了。还不是偶尔，而是经常出现。第三，屏幕触摸灵敏度真是差爆了，玩游戏的时候连我13年买的M7都比不上，搞得我都不敢和朋友玩王者荣耀，因为太坑了。唱的好不去做得好，怕成本太高用13年HTC M7那样的屏幕就可以了，宣传的多么好有屁用，只能骗我这种第一次买的，以后就算你再便宜，我也不买了。虽然不贵，到落差太大，没有那么好就谦虚点。
1,电池一会就没电，用过手机中电池最差的手机了 电池感觉好垃圾 开机超级慢 后悔买这款了
5,高，高，不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错
5,奶奶用起来很满意
5,国产手机很不错
5,好好好好好好好好好好好好的人家里
5,就是图着屏幕大去的。手机总体还行，完全够用。
5,很好，大屏小米
5,快 满意 好评
5,给老爸买的，他一直在用小米手机，想换个大屏的，小米质量还是值得信任的，系统流畅，售后方便家楼下底商就有一个售后呵呵，总的来说东西很好，很满意！京东的物流不是盖的，目前电商领域里应该算是大佬级的，给快递小哥点个赞！！！
5,手机挺好，屏幕大，手感特好。
5,屏幕很大，用了还不错嘛！很喜欢了。
5,很不错 用着很好 值得拥有哦
5,这个手机太值了，这是第二个了，赞
5,给学生买的，反应挺好的，屏幕大价格实惠。
5,就是先拍的手机后拍手机套居然要出邮费，手机还可以
5,挺好的呀！很满意的，流畅的很，就黑边太粗，影响美观
5,入手第二台了，性价比高。
5,手机很不错
